county_fips,county_name,state,stroke_mortality_rate,uninsured_rate,burden_index,population,state_norm,county_norm,hospitals_reporting,mean_stroke_score,mean_performance_weight,burden_scaled,supply_score,care_gap_index_raw,care_gap_index,SCAI,data_status,national_rank,category
36059,Nassau County,NY,49.5,3.9,1.9305,1388138.0,NY,NASSAU,9.0,10.966666666666669,1.3333333333333333,1.075173056934347,2.5649493574615367,0.0,0.0,1.0,VALID,1.0,Highest Access
25017,Middlesex County,MA,42.0,2.4,1.008,1622896.0,MA,MIDDLESEX,10.0,13.2,0.3571428571428571,0.6971392018294827,1.5198257537444133,0.2840588773376723,0.0793835702077116,0.9206164297922884,VALID,2.0,Highest Access
06037,Los Angeles County,CA,68.0,8.7,5.916,9848406.0,CA,LOS ANGELES,48.0,12.116666666666667,0.1477272727272727,1.933837567821044,2.0907410969337694,0.3575282087000882,0.0999154327531969,0.9000845672468031,VALID,3.0,Highest Access
34025,Monmouth County,NJ,65.8,5.2,3.4216,643615.0,NJ,MONMOUTH,5.0,12.42,1.2,1.4865016215369162,1.9459101490553128,0.3587606064867811,0.1002598407053112,0.8997401592946888,VALID,4.0,Highest Access
25009,Essex County,MA,51.5,2.8,1.442,807258.0,MA,ESSEX,5.0,13.080000000000002,0.6666666666666666,0.8928173756885129,1.466337068793427,0.3824091643815316,0.1068687063515604,0.8931312936484395,VALID,5.0,Highest Access
25023,Plymouth County,MA,52.7,2.5,1.3175,531889.0,MA,PLYMOUTH,3.0,11.566666666666668,1.0,0.8404890184578732,1.3862943611198906,0.3862246161289029,0.1079349788951273,0.8920650211048726,VALID,6.0,Highest Access
36103,Suffolk County,NY,48.2,4.6,2.2172,1525680.0,NY,SUFFOLK,9.0,11.81111111111111,0.5,1.168511416047777,1.7047480922384253,0.3918810309404014,0.1095157300637618,0.8904842699362382,VALID,7.0,Highest Access
36047,Kings County,NY,39.0,5.9,2.301,2646306.0,NY,KINGS,8.0,11.8375,0.5454545454545454,1.194225452871056,1.6796421711073488,0.4121938596870269,0.1151923872484909,0.8848076127515091,VALID,8.0,Highest Access
44009,Washington County,RI,51.0,2.2,1.122,130073.0,RI,WASHINGTON,2.0,14.85,1.0,0.7523590401917915,1.0986122886681098,0.4301106165959111,0.1201994341793994,0.8798005658206006,VALID,9.0,Highest Access
33011,Hillsborough County,NH,55.6,6.0,3.3360000000000003,424732.0,NH,HILLSBOROUGH,5.0,13.7,1.0,1.4669522641373451,1.791759469228055,0.4422046984485991,0.1235792665748833,0.8764207334251166,VALID,10.0,Highest Access
25013,Hampden County,MA,61.7,3.1,1.9127,462853.0,MA,HAMPDEN,5.0,12.84,0.6666666666666666,1.069080486062072,1.466337068793427,0.4579057111386577,0.1279670979107503,0.8720329020892497,VALID,11.0,Highest Access
17031,Cook County,IL,83.0,9.0,7.47,5185812.0,IL,COOK,31.0,11.819354838709677,0.2068965517241379,2.136530508663963,2.0033421981411887,0.4678029319688117,0.1307329918408942,0.8692670081591057,VALID,12.0,Highest Access
36061,New York County,NY,36.4,4.3,1.5652,1627788.0,NY,NEW YORK,8.0,10.75,0.3125,0.9420364482925708,1.252762968495368,0.4819305308167589,0.1346811143059395,0.8653188856940605,VALID,13.0,Highest Access
42003,Allegheny County,PA,68.0,3.9,2.652,1240476.0,PA,ALLEGHENY,12.0,13.025,0.3333333333333333,1.295274962732722,1.6094379124341005,0.4825241667045902,0.1348470127866388,0.8651529872133612,VALID,14.0,Highest Access
53033,King County,WA,57.1,5.2,2.9692000000000003,2262713.0,WA,KING,13.0,13.1,0.3,1.3785645630579495,1.589235205116581,0.524409946022512,0.1465524829143558,0.8534475170856441,VALID,15.0,Highest Access
39035,Cuyahoga County,OH,79.6,5.5,4.377999999999999,1249418.0,OH,CUYAHOGA,12.0,12.85,0.3888888888888889,1.6823165578466728,1.7346010553881064,0.5446145333413079,0.1521988907681503,0.8478011092318496,VALID,16.0,Highest Access
37119,Mecklenburg County,NC,80.4,11.6,9.3264,1130906.0,NC,MECKLENBURG,7.0,12.857142857142858,0.875,2.334703722875505,1.9636097261547143,0.5473596863971125,0.1529660558445557,0.8470339441554443,VALID,17.0,Highest Access
25011,Franklin County,MA,49.9,2.3,1.1476999999999995,70922.0,MA,FRANKLIN,1.0,11.5,1.0,0.7643975020881117,0.6931471805599453,0.557828131874967,0.1558915851726498,0.8441084148273501,VALID,18.0,Highest Access
24031,Montgomery County,MD,59.7,6.8,4.0596000000000005,1057586.0,MD,MONTGOMERY,6.0,12.816666666666668,0.7142857142857143,1.6212874287912498,1.6650077635889111,0.5688470957711406,0.1589709633011084,0.8410290366988915,VALID,19.0,Highest Access
